,Region,Country,Code,GAVI2004,GAVI2005,GAVI2006,GAVI2007,GAVI2008,GAVI2009,GAVI2010,GAVI2011,GAVI2012,GAVI2013,GAVI2014,GAVI2015,GAVI2016,GAVI2017,GAVI2018,GAVI2019,Pol3GAVI,Pol3GAVIa,DPT3GAVI,DPT3GAVIa,Polio,DPT3,VA,PS,RL,RQ,GE,CC,Importance,Safety,Effectiveness,GNI
78,AMR,Haiti,HTI,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,74,51,0.73,0.78,0.97,1.26,2.02,1.34,0.0172,0.204,0.1022,1343.333333
79,AMR,Honduras,HND,,,,,,,,,,,,,,,,,1,TRUE,0,FALSE,87,87,0.55,0.53,1.01,0.49,0.61,0.81,NA,0.0589,0.0466,2143.333333
80,EUR,Hungary,HUN,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,0.22,0.73,0.49,0.6,0.5,0,0.0127,0.0263,0.0134,13180
81,EUR,Iceland,ISL,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,91,91,1.33,1.66,1.77,1.37,1.52,1.71,0.0088,0.2127,0.012,55026.66667
82,SEAR,India,IND,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,90,91,0.29,0.7,0.03,0.16,0.17,0.23,0.0136,0.02,0.018,1700
83,SEAR,Indonesia,IDN,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,85,85,0.16,0.48,0.34,0.09,0.18,0.42,0.0301,0.0574,0.1155,3453.333333
84,EMR,Iran (Islamic Republic of),IRN,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,1.37,1.7,0.75,1.42,0.55,1.05,0.0172,0.0916,0.0259,5430
85,EMR,Iraq,IRQ,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,85,84,0.95,2.56,1.72,1.18,1.34,1.34,0.0294,0.0445,0.0387,5270
86,EUR,Ireland,IRL,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,94,94,1.34,0.97,1.39,1.6,1.28,1.46,0.0394,0.0936,0.0433,52000
87,EUR,Israel,ISR,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,98,98,0.69,0.78,1.05,1.28,1.33,0.81,0.0088,0.0482,0.0214,36660
88,EUR,Italy,ITA,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,95,95,0.97,0.46,0.28,0.95,0.46,0.24,0.0823,0.1372,0.0563,32090
89,AMR,Jamaica,JAM,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,96,96,0.64,0.41,0.31,0.17,0.5,0.06,NA,NA,NA,4683.333333
90,WPR,Japan,JPN,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,98,98,0.96,1.04,1.54,1.33,1.59,1.48,0.0473,0.0834,0.033,38396.66667
91,EMR,Jordan,JOR,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,87,89,0.67,0.36,0.14,0.03,0.1,0.13,0.0097,0.0315,0.0233,4010
92,EUR,Kazakhstan,KAZ,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,97,97,1.21,0.08,0.43,0.14,0.12,0.32,0.0372,0.1034,0.0487,9396.666667
93,AFR,Kenya,KEN,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,87,92,0.29,1.12,0.45,0.28,0.38,0.78,0.0132,0.053,0.077,1353.333333
94,WPR,Kiribati,KIR,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,94,97,1.12,1.2,0.74,0.62,0.24,0.37,NA,NA,NA,3136.666667
95,EMR,Kuwait,KWT,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,91,0.63,0.2,0.22,0.06,0.02,0.13,0.0216,0.0409,0.0306,36183.33333
96,EUR,Kyrgyzstan,KGZ,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,96,95,0.46,0.41,0.89,0.35,0.68,0.95,0.0438,0.0884,0.0715,1133.333333
97,WPR,Lao People's Democratic Republic,LAO,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,67,68,1.8,0.53,0.94,0.71,0.78,1.06,NA,0.0185,0.0141,2110
98,EUR,Latvia,LVA,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,99,99,0.88,0.45,1.01,1.19,1.11,0.48,0.0595,0.1707,0.0983,14903.33333
