,Region,Country,Code,GAVI2004,GAVI2005,GAVI2006,GAVI2007,GAVI2008,GAVI2009,GAVI2010,GAVI2011,GAVI2012,GAVI2013,GAVI2014,GAVI2015,GAVI2016,GAVI2017,GAVI2018,GAVI2019,Pol3GAVI,Pol3GAVIa,DPT3GAVI,DPT3GAVIa,Polio,DPT3,VA,PS,RL,RQ,GE,CC,Importance,Safety,Effectiveness,GNI
188,AFR,United Republic of Tanzania,TZA,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,89,89,0.5,0.36,0.58,0.64,0.88,0.39,0.0058,0.0229,0.0426,973.3333333
189,AMR,United States of America,USA,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,93,94,0.97,0.3,1.46,1.35,1.49,1.22,0.0606,0.1109,0.0579,57823.33333
190,AMR,Uruguay,URY,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,93,94,1.26,1.05,0.62,0.51,0.7,1.25,0.0236,0.1076,0.0684,15660
191,EUR,Uzbekistan,UZB,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,98,96,1.61,0.27,1.05,0.99,0.51,1.05,0.0048,0.0332,0.0113,2533.333333
192,WPR,Vanuatu,VUT,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,90,90,0.66,1.03,0.18,0.46,0.55,0.26,NA,NA,NA,2796.666667
193,AMR,Venezuela (Bolivarian Republic of),VEN,,,,,,,,,,,,,,,,,0,FALSE,0,FALSE,62,64,1.41,1.45,2.32,2.36,1.66,1.51,0.0015,0.0405,0.0249,NA
194,WPR,Viet Nam,VNM,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,89,89,1.38,0.13,0.02,0.26,0.04,0.51,0.0139,0.0811,0.0357,2060
195,EMR,Yemen,YEM,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,67,73,1.77,2.77,1.77,1.66,2.28,1.68,0.0184,0.0306,0.0322,1140
196,AFR,Zambia,ZMB,,,,,,,,,,,,,,,,,1,TRUE,1,TRUE,89,88,0.29,0.1,0.46,0.55,0.68,0.64,0.0234,0.1028,0.0815,1416.666667
197,AFR,Zimbabwe,ZWE,,,,,,,,,,,,,,,,,0,FALSE,1,TRUE,90,90,1.14,0.92,1.26,1.46,1.21,1.24,0.0057,0.0376,0.0185,1320
